"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"GLI1/2/3"	0.101	-2.59430951176733	0.798	0.076	0.815
"KH2013:KH.C8.467_SRP-1/2/3/6/7/8"	0.102	-1.38262808132324	0.796	0.944	1
"GALNT4"	0.893	2.6421445684688	0.786	0.861	0.185
"BX005256.5"	0.109	-2.29094434304891	0.782	0.458	0.938
"FRS2/3"	0.89	1.71525057570953	0.78	0.972	0.569
"TAOK1/2/3"	0.113	-1.39568134822672	0.774	0.882	0.969
"KH2013:KH.S2435.1_ASB2"	0.113	-2.52546610661904	0.774	0.139	0.754
"KH2013:KH.C12.244"	0.114	-4.74440670303816	0.772	0.042	0.785
"KH2013:KH.L170.64"	0.886	2.65591980380143	0.772	0.771	0.046
"KCND1/2/3"	0.885	2.10763776260478	0.77	0.868	0.308
"CDK5R1/2"	0.882	3.18732470952203	0.764	0.812	0.092
"RBM24/38"	0.882	4.03638475516124	0.764	0.785	0.062
"TMSB15A"	0.882	2.88500327627593	0.764	0.833	0.138
"RBFOX1/2/3"	0.881	1.56427426010597	0.762	1	0.892
"HLH-4"	0.88	1.83795174432887	0.76	0.951	0.415
"RHOF"	0.877	1.25100628777347	0.754	0.993	0.677
"FAM176C"	0.127	-1.7029115900156	0.746	0.562	0.969
"KH2013:KH.L76.5"	0.873	2.45265134313969	0.746	0.833	0.215
"KHK"	0.872	2.65649641525812	0.744	0.812	0.123
"KH2013:KH.C4.359_GPA33"	0.13	-1.41517150214393	0.74	0.84	0.985
"IPMK"	0.87	1.53372206890821	0.74	0.944	0.4
"SPECC1"	0.131	-1.97551955457001	0.738	0.625	0.923
"KH2013:KH.C3.716_EFNA1/2/3/4/5"	0.133	-2.35996068934564	0.734	0.285	0.862
"KH2013:KH.C7.805_ID1/2/3/4"	0.866	1.17658637670165	0.732	0.986	0.923
"RASSF10A"	0.135	-1.5772077519709	0.73	0.458	0.954
"KH2013:KH.C1.21_CG2781"	0.862	1.48716866792944	0.724	0.979	0.631
"C01B12.3/5"	0.859	2.64211375713966	0.718	0.75	0.046
"KH2013:KH.S1440.1_ACTA1/2"	0.859	1.93211307503603	0.718	0.979	0.846
"KH2013:KH.L18.114_CHDH"	0.858	1.15128098420616	0.716	0.986	0.631
"KH2013:KH.S1022.1_SLC20A2"	0.856	1.74417846949014	0.712	0.951	0.385
"WNT9B"	0.145	-4.02202399205641	0.71	0.076	0.738
"KH2013:KH.C1.1083_EPHA10/2/3/4/5/6/7/8"	0.147	-3.02319429869568	0.706	0.049	0.708
"CDH-4"	0.147	-1.39655124441348	0.706	0.91	0.985
"KH2013:KH.C11.362"	0.148	-2.6362507461828	0.704	0.208	0.8
"LAMA1/2"	0.149	-1.99229405875503	0.702	0.132	0.738
"PRODH/2"	0.149	-1.28245869283176	0.702	0.729	0.954
"RAPSN"	0.851	3.32980509506501	0.702	0.694	0.031
"KH2013:KH.C9.223_CDC42"	0.851	1.91809717103269	0.702	0.819	0.246
"ODZ1/2/3/4"	0.15	-1.62029509328702	0.7	0.528	0.908
"KH2013:KH.L96.11_TLE1/2/3/4"	0.85	2.42125651401608	0.7	0.688	0.062
"WNT10A"	0.151	-4.7089499548955	0.698	0.028	0.708
"PIM1/3"	0.849	1.67437552408034	0.698	0.826	0.262
"KH2013:KH.L48.1"	0.845	1.30294175304092	0.69	0.979	0.785
"KH2013:KH.C9.161"	0.157	-1.95962532907001	0.686	0.424	0.877
"KH2013:KH.L153.15"	0.157	-2.71840867201992	0.686	0.076	0.723
"KH2013:KH.C14.401"	0.843	4.03594254399183	0.686	0.701	0.031
"KH2013:KH.C8.164"	0.843	2.15161802753844	0.686	0.812	0.185
