"myAUC"	"avg_diff"	"power"	"pct.1"	"pct.2"
"TAOK1/2/3"	0.848	1.27204533194609	0.696	0.958	0.882
"KH2013:KH.C3.414_UBE2J1"	0.153	-2.03396677009824	0.694	0.181	0.819
"FSCN1/2"	0.155	-1.37415062905319	0.69	0.479	0.965
"KH2013:KH.C4.125_BMP2/4"	0.845	2.13374953765566	0.69	0.875	0.389
"KH2013:KH.C14.401"	0.156	-4.11934121136696	0.688	0.028	0.701
"TIMP4"	0.156	-1.4945511774643	0.688	0.458	0.91
"IPMK"	0.156	-1.29652764672566	0.688	0.444	0.944
"LRRC4C"	0.844	3.02575675569161	0.688	0.771	0.188
"IRX1/2/3/5"	0.157	-1.74290342777295	0.686	0.118	0.639
"CAPN1/11/2/3/8/9"	0.157	-1.5861099580791	0.686	0.542	0.944
"C01B12.3/5"	0.158	-2.30794481970612	0.684	0.097	0.75
"KH2013:KH.C9.161"	0.842	1.87581542663238	0.684	0.875	0.424
"RAPSN"	0.159	-2.679419642743	0.682	0.049	0.694
"PRODH/2"	0.841	1.34531704517304	0.682	0.972	0.729
"KH2013:KH.C8.467_SRP-1/2/3/6/7/8"	0.841	1.15639575069307	0.682	0.986	0.944
"KH2013:KH.L48.1"	0.162	-1.22659508201546	0.676	0.792	0.979
"KH2013:KH.C2.1142"	0.165	-2.83777486195965	0.67	0.035	0.694
"NUS1"	0.166	-1.53917208524424	0.668	0.41	0.896
"DGKH"	0.166	-1.65157344216958	0.668	0.181	0.785
"PIM1/3"	0.168	-1.44342994268186	0.664	0.271	0.826
"MYF5"	0.168	-2.77216776349381	0.664	0.16	0.75
"TNS1/3"	0.831	1.65274030120185	0.662	0.91	0.576
"Ci-tune"	0.831	1.48062362039322	0.662	0.924	0.639
"MYO-1/2/3/5"	0.17	-2.46608388287264	0.66	0.042	0.625
"HAND/1/2"	0.829	1.59410526518516	0.658	0.882	0.493
"KH2013:KH.C4.359_GPA33"	0.828	1.32368280742871	0.656	0.979	0.84
"KH2013:KH.C2.769"	0.174	-2.33075991011345	0.652	0.062	0.674
"KH2013:KH.C11.122_SLC17A5"	0.825	1.09789720069283	0.65	0.986	0.91
"MTDH"	0.824	1.12159259650239	0.648	1	0.986
"KH2013:KH.C9.223_CDC42"	0.177	-1.5369220769149	0.646	0.299	0.819
"SERPINB6C"	0.178	-2.52240811240545	0.644	0.104	0.715
"COL6A1/2/3/5/6"	0.178	-3.67448173205069	0.644	0.028	0.646
"KH2013:KH.C3.354"	0.179	-1.46523156829407	0.642	0.361	0.868
"GLI1/2/3"	0.82	2.31252111273933	0.64	0.667	0.076
"ATF3"	0.181	-2.35839130120492	0.638	0.097	0.715
"CALD1"	0.182	-1.17505046283706	0.636	0.743	0.958
"NAV1/2/3"	0.182	-1.20546910779475	0.636	0.743	0.972
"KH2013:KH.S1022.1_SLC20A2"	0.184	-1.44466275798928	0.632	0.507	0.951
"KCND1/2/3"	0.185	-1.22501691240852	0.63	0.368	0.868
"KH2013:KH.C10.124"	0.185	-2.02150829464461	0.63	0.069	0.674
"CALML6"	0.185	-3.81597165767117	0.63	0.056	0.667
"KH2013:KH.C7.388_CHRNB1"	0.185	-2.83358689678489	0.63	0.153	0.674
"KH2013:KH.C8.80_SI:DKEY-29D8.3"	0.813	1.19315174011749	0.626	0.979	0.854
"ALPPL2"	0.812	2.86138012877033	0.624	0.701	0.16
"KH2013:KH.C3.191_WBSCR27"	0.809	2.38048630329317	0.618	0.764	0.333
"KH2013:KH.C1.21_CG2781"	0.192	-1.11960714680394	0.616	0.722	0.979
"S1PR1/4"	0.193	-3.27903565990971	0.614	0.083	0.66
"ZBTB10/46"	0.194	-1.03986641395636	0.612	0.806	0.986
"KH2013:KH.C5.227_F56C4.4"	0.805	1.74312289746092	0.61	0.979	0.979
"KH2013:KH.L141.42_CILP/2"	0.195	-2.36774714597776	0.61	0.083	0.674
"KH2013:KH.L96.11_TLE1/2/3/4"	0.195	-1.17077091497403	0.61	0.146	0.688
"FOXF1/2"	0.804	1.62508969945316	0.608	0.847	0.375
"Ci-R1CiGC27a04"	0.804	3.4837477822846	0.608	0.674	0.125
"KCNIP1/2/3/4"	0.198	-3.26848616954848	0.604	0.069	0.646
"LYS2"	0.801	2.23631793844109	0.602	0.694	0.181
"NKD1/2/3"	0.199	-1.16781307278587	0.602	0.486	0.903
"KH2013:KH.L170.62_SORD"	0.199	-3.65202789039213	0.602	0.028	0.611
"KH2013:KH.C11.217_SLC17A5"	0.8	1.17951209275144	0.6	0.924	0.667
"SPECC1"	0.8	1.73333834354522	0.6	0.861	0.625
"TMSB15A"	0.201	-1.29775254025749	0.598	0.319	0.833
"KH2013:KH.C5.48"	0.798	2.95656169605546	0.596	0.66	0.09
"SFRP1/5"	0.798	3.35829998285205	0.596	0.639	0.076
"KH2013:KH.C11.482"	0.797	1.35390164988783	0.594	0.875	0.625
"KH2013:KH.C8.489_SI:DKEY-29D8.3"	0.797	1.98436631035256	0.594	0.771	0.306
"SNX11"	0.797	2.61548825197674	0.594	0.681	0.16
"TMTC2"	0.204	-2.53538678712039	0.592	0.056	0.604
"TMSB15B1/2"	0.204	-1.5565742357599	0.592	0.215	0.764
"MCU"	0.205	-1.28085872404013	0.59	0.472	0.875
"NHS"	0.794	2.00075961164215	0.588	0.764	0.292
"KH2013:KH.C8.164"	0.207	-1.43501179744905	0.586	0.271	0.812
"NTN1/2/3/5"	0.793	4.07327941676051	0.586	0.611	0.049
"KH2013:KH.C2.436_FUT8"	0.793	2.43209519955896	0.586	0.688	0.167
"FAM176C"	0.793	1.40540771404796	0.586	0.889	0.562
"RASSF10A"	0.792	1.37034056320025	0.584	0.854	0.458
"KH2013:KH.S1440.1_ACTA1/2"	0.209	-1.14272105391296	0.582	0.84	0.979
"TCF7L1/2"	0.79	1.36252410496466	0.58	0.917	0.736
"RORB"	0.788	1.00610737107168	0.576	0.958	0.715
"KH2013:KH.C6.163_FLRT1/2/3"	0.213	-1.52240152496483	0.574	0.25	0.771
"KH2013:KH.C11.32"	0.215	-3.45434209197251	0.57	0.042	0.597
"GAL3ST1/4"	0.785	2.98217789082907	0.57	0.646	0.146
"IGF1/2"	0.784	2.91331478907296	0.568	0.632	0.097
"C19ORF45"	0.217	-3.22722405660807	0.566	0.042	0.583
"ANO1/3/4/5/6/7"	0.217	-1.96852668022874	0.566	0.097	0.653
"DHCR7"	0.218	-2.15952128665186	0.564	0.201	0.701
"KCNH2/6/7"	0.782	2.41018379036364	0.564	0.632	0.125
"SPRY1/2/3/4"	0.219	-1.06895384577789	0.562	0.417	0.896
"DLK1/2"	0.22	-1.14731249327764	0.56	0.625	0.944
"KH2013:KH.C4.226"	0.778	1.5251702404274	0.556	0.847	0.486
"KH2013:KH.L153.15"	0.778	2.4879320705636	0.556	0.604	0.076
"C5ORF48"	0.777	2.74369469795391	0.554	0.632	0.125
"KH2013:KH.C10.203"	0.776	2.69198619142748	0.552	0.646	0.153
"SPSB1/4"	0.775	1.27728104273969	0.55	0.986	0.903
"CAPN3/8"	0.227	-1.2433320985383	0.546	0.271	0.778
"KH2013:KH.S2435.1_ASB2"	0.772	2.03262847834692	0.544	0.507	0.139
"ACVR1B"	0.77	1.20194079190782	0.54	0.896	0.722
"DCTN6"	0.77	1.57866835831221	0.54	0.826	0.576
"KH2013:KH.C14.245_TMED6"	0.769	1.96994336873295	0.538	0.743	0.354
"KH2013:KH.S1697.1"	0.232	-2.45755775466132	0.536	0.056	0.528
"KCNJ12/14/18/2/4"	0.233	-1.55118718305562	0.534	0.306	0.743
"ATP10B"	0.234	-1.30190618407893	0.532	0.188	0.66
"PCTP"	0.766	1.86707241492049	0.532	0.681	0.243
"NACP60E"	0.235	-1.53044862035293	0.53	0.132	0.611
"KH2013:KH.S346.6_CTGF"	0.235	-1.19103010556803	0.53	0.312	0.771
"KH2013:KH.C9.319_PKD2"	0.238	-1.04458124916842	0.524	0.479	0.847
"KH2013:KH.C4.517_HMCN1"	0.24	-1.73388592623954	0.52	0.118	0.625
"KH2013:KH.C1.509"	0.242	-4.55871707603308	0.516	0.007	0.521
"C14ORF159"	0.244	-3.37626161434861	0.512	0.035	0.535
"KH2013:KH.S643.6_CDKN1B"	0.244	-1.38713229321925	0.512	0.444	0.847
"KH2013:KH.C7.216"	0.754	1.23597003830462	0.508	0.833	0.535
"DDR/1/2"	0.754	1.45694630370991	0.508	0.75	0.424
"MYOM1/2/3"	0.753	1.34225321700742	0.506	0.771	0.424
"RBMS1/2/3"	0.753	1.02894615737954	0.506	0.924	0.757
"ERF"	0.752	1.48347384958471	0.504	0.792	0.444
"CISH"	0.752	2.22121323565272	0.504	0.59	0.097
"KH2013:KH.S406.20"	0.249	-1.56837494244139	0.502	0.104	0.59
"KH2013:KH.C5.299_CAPSL"	0.751	1.75012379072774	0.502	0.701	0.34
"KH2013:KH.C7.230"	0.25	-1.03747584339887	0.5	0.194	0.66
"HES1/2/4"	0.75	1.50167791551835	0.5	0.542	0.062
"KH2013:KH.C3.202_EFNA1/2/3/4/5"	0.749	1.34432095460105	0.498	0.764	0.382
"SMURF1/2"	0.253	-1.02213892218682	0.494	0.486	0.875
"WNT10A"	0.746	4.21437810989138	0.492	0.507	0.028
"FREM2/3"	0.746	2.34691752110745	0.492	0.514	0.056
"KH2013:KH.C3.588_ALDH5A1"	0.256	-1.24205757171207	0.488	0.375	0.736
"KH2013:KH.C4.412"	0.256	-3.15208708982313	0.488	0.049	0.528
"WNT9B"	0.744	3.52900361744174	0.488	0.528	0.076
"HS3ST3L"	0.742	1.7968196319518	0.484	0.66	0.257
"NR4A1/3"	0.742	2.2501418832624	0.484	0.514	0.056
"DCTN5"	0.259	-1.09719573935705	0.482	0.382	0.764
"TMEM55A"	0.74	1.429788779872	0.48	0.806	0.479
"KH2013:KH.L19.1_ROBO1/2"	0.262	-2.23778399650033	0.476	0.174	0.597
"RECK"	0.262	-1.16462323789272	0.476	0.111	0.597
"KH2013:KH.C2.22"	0.737	1.78886948950764	0.474	0.667	0.34
"CG5844"	0.265	-1.45923871049401	0.47	0.208	0.646
"KH2013:KH.L149.2_METTL24"	0.268	-3.21568090164174	0.464	0.069	0.507
"KH2013:KH.C11.362"	0.732	2.29102445251889	0.464	0.597	0.208
"BAG3/4"	0.732	1.04676051206275	0.464	0.924	0.868
"KH2013:KH.C12.376_Ci-cluster"	0.73	2.03597842118509	0.46	0.597	0.194
"ADD1/2/3"	0.73	1.13024184282401	0.46	0.889	0.729
"KH2013:KH.C14.206_IRC24"	0.729	1.10245349020139	0.458	0.833	0.569
"HMGA2"	0.272	-1.28257288636127	0.456	0.174	0.583
"MMP21"	0.728	3.34015988751319	0.456	0.507	0.069
